|1|CAUSE|1|COULD NOT FIND TEXT
2982016001|1|CAUSE|1|       B BJ RLY A160 Y 14.    q YES (If yes, complete 15.   )  A NO 15.       ABSTRACT (   On April 25, 2016, while performing a walkdown of Control Room panels, it was noticed that the green indication light for High Pressure Coolant Injection (HPCI) auxiliary lube oil pump (ALOP) was not illuminated. A non-licensed operator was dispatched to the HPCI ALOP starter and reported that the local indication lights were not illuminated. HPCI was declared inoperable at 2117 Central Daylight Time (CDT) resulting in entry into Technical Specifications (TS) ing Condition of Operation 3.5.1, Condition C, HPCI System Inoperable. Investigation determined that the coil in the electrical relay for the ALOP, which had recently been replaced during a preventive maintenance window, had failed after 133 hours of service. The cause of the failure was determined to be the prior pre-installation checks performed by NuTherm on the relay were inadequate to prevent the type of infant mortality failure that occurred in this case. HPCI was declared operable at 1314 CDT on April 26, 2016, after the coil was replaced. This event is being reported as a loss of safety function due to HPCI being a single-train safety system, as a condition prohibited by TS and in accordance with 10 CFR Part 21. The potential safety consequences of this event were minimal due to both the limited duration the condition existed and the redundant/diverse core cooling systems which remained operable.
2982016003|1|CAUSE|1|,    .      B Y 14.    q YES (If yes, complete 15.   ) a NO 15.       ABSTRACT (   On September 14, 2016, during testing of the Reactor Recirculation Motor Generator Ventilation Air Operated Isolation Valves (AOV), HV-AOV-265 failed to close as required by Technical Specifications. Operations declared HV-AOV-265 inoperable and entered ing Condition for Operation (LCO) 3.6.4.2, Condition A, and commenced preparations to transition the plant to single loop operation, including reducing the plant to approximately 50 percent power. Upon investigation, it was discovered that the air supply line to the valve was pinched between the valve actuator and a scaffold that was erected to support work on a nearby component. After modifying the scaffold and replacing the pinched airline, the valve was tested satisfactorily and Operations exited the LCO and activities to prepare for transition to single loop operation were terminated. The root cause of the event is that personnel involved in the planning, construction, and inspection of the scaffold built for a nearby component were not aware of the unique external movement path of the valve actuator. To prevent recurrence, the procedure will be revised to include specific guidance for the planning, building and inspection of scaffolds in the vicinity of HV-AOV-265 and other AOVs having actuators of similar design. Signage has been installed to warn personnel of the external movement of these AOVs.
2982016004|1|CAUSE|1|      A BLECDIV D NH ISV Y 14.    q YES (If yes, complete 15.   ) I NO 15.       ABSTRACT (   On September 24, 2016, at 20:40 hours, during reactor cooldown for Refueling Outage 29, Cooper Nuclear Station control room operators closed the inboard Main Steam Isolation Valves (MSIV) to minimize steam flow to control the reactor cooldown rate. Reactor pressure was controlled using the Main Steam Line Drains; and the condensate/feed system was available for reactor water level control. On September 25, 2016, at 01:03 hours, while equalizing pressure across the MSIVs to below 200 psid, a differential pressure of 190 psid was established. Upon opening MS-AO-80A, a Group 1 isolation was immediately received due to a Main Steam Line high flow signal. The control room operators subsequently equalized pressure and successfully opened MS-AO-80A, as well as the remaining MSIVs, at 18:52 hours. The cause of the event was insufficient procedure guidance exists regarding limitations on opening the MSIVs. To correct this, the applicable procedure has been revised to change the differential pressure limitations for opening MSIVs from 200 psid to 80 psid. The safety significance of the event is low and did not pose a threat to the health and safety of the public.
2982016005|1|CAUSE|1|      14.    q YES (If yes, complete 15.   ) I NO 15.       ABSTRACT (   During Refueling Outage 29 (RE-29), Cooper Nuclear Station implemented the guidance of Enforcement Guidance Memorandum (EGM) 11-003, Revision 3, "Dispositioning Boiling Water Reactor Licensee Noncompliance with Technical Specification Containment Requirements During Operations with a Potential for Draining the Reactor Vessel," dated January 15, 2016. Consistent with EGM 11-003, Revision 3, secondary containment operability was not maintained during Operations with a Potential for Draining the Reactor Vessel activities, and Required Action C.2 of Technical Specification (TS) 3.6.4.1 was not completed. EGM 11-003, Revision 3, was implemented four times during RE-29. These conditions are being reported as conditions prohibited by TS. Implementation of EGM 11-003, Revision 3, during RE-29 was a planned activity. As such, there were no root cause evaluations of the events. Consistent with the guidance provided in EGM 11-003, Revision 3, Nebraska Public Power District will submit a license amendment request to adopt a Technical Specifications Task Force (TSTF) traveler associated with generic resolution of this issue within 12 months after issuance of the Notice of Availability of the TSTF traveler.   - 005 REV NO. -00 1. FACILITY NAME Cooper Nuclear Station 2.   05000- 298  2016 3.
2982016006|1|CAUSE|1|      D JH FAN C147 Y 14.    YES (If yes, complete 15.   ) 0 NO 15.        ABSTRACT (   On October 23, 2016, while conducting refueling and Operations with a Potential for Draining the Reactor Vessel activities, Control Room Emergency Filter System (CREFS) Supply Fan A (SF-C-1A) experienced high vibration. A vibration analysis was performed and results indicated that vibration readings were elevated across all points for the motor and fan. Consequently, Operations declared CREFS inoperable at 19:08 hours. At 19:53 hours, SF-C-1B was started, CREFS was transferred to the alternate supply, and SF-C-1A was secured. At 23:41, Event Notification 52315 was made to the Nuclear Regulatory Commission Operations Center. The fan was repaired on October 24 and 25, 2016, and a vibration analysis was performed on October 26, 2016, with satisfactory results. Operations declared CREFS operable at 1341 on October 27, 2016. The root cause was the preventive maintenance strategy for the fan was ineffective to ensure shaft to bearing engagement is maintained. To prevent recurrence, the applicable maintenance plan will be revised to include verification that the bearings are adequately engaged to the fan shaft. This is a Safety System Functional Failure. 3. 2.   05000- 298 1. FACILITY NAME Cooper Nuclear Station REV NO. -00  2016   - 006
2982016007|1|CAUSE|1|      B BO RLY GE Y 14.    q YES (If yes, complete 15.   ) gl, NO 15.       ABSTRACT (   On October 28, 2016, during replacement of relay PCIS-REL-K27 at Cooper Nuclear Station (CNS), the action of installing a new relay onto the shared plastic DIN rail disturbed the mounting rail in a manner that caused contacts of the adjacent relay, PCIS-REL-K30, to open. This caused Shutdown Cooling (SDC) isolation valve RHR-MO-17 to close, which actuated the logic to trip the running 'A' Residual Heat Removal (RHR) pump. Operations declared 'A' RHR SDC subsystem inoperable at 09:24 hours and entered ing Condition for Operation (LCO) 3.9.7, Condition A, and Condition C. Alternate Decay Heat Removal remained in service throughout the event. Event Notification 52327 was made to the Nuclear Regulatory Commission Operations Center. While SDC was out of service, PCIS-REL-K27 work was completed. SDC was declared operable at 05:30 hours on October 29, 2016, and was placed in service at 18:30 hours, and the LCO was exited. The root cause of the event is that CNS did not identify the risk from mechanical agitation during Primary Containment Isolation System (PCIS) relay installation; therefore, the risk was not adequately evaluated or mitigated. To prevent recurrence, CNS will revise Procedure 0.50.5 to list the relays or other devices which could impact SDC when in service. This is a Safety System Functional Failure. Page 2 of 4
2982016008|1|CAUSE|1|      14.    q YES (If yes, complete 15.   ) 0 NO 15.       ABSTRACT (   On November 8, 2016 at 11:27 hours, Cooper Nuclear Station (CNS) declared Reactor Core Isolation Cooling (RCIC) inoperable for surveillance testing and entered Technical Specification (TS) ing Condition for Operation (LCO) 3.5.3, Condition A. Subsequently at 11:41 hours, RCIC was declared inoperable due to a water leak from the lube oiler cooler lower flange. During investigation it was determined that valve RCIC-AOV-PCV23, which was replaced during Refueling Outage 29, was full open causing excessive cooling water pressure to the lube oil cooler. This valve regulates cooling water to the lube oil cooler. Initial examination revealed that the actuator was purchased with a closed travel stop instead of the required open travel stop. The work order was revised to fabricate and install an open travel stop. On November 10, 2016, following valve modification, RCIC passed surveillance testing, was declared operable, and TS LCO 3.5.3, Condition A, exited. :The root cause evaluation determined that the correct air operated valve was not purchased because the material master purchase order text and associated drawing didn't detail the requirement of an open travel stop. To prevent recurrence, CNS will revise the material master purchase order text to state that the valve includes a travel stop in the open direction to limit valve travel. In addition, the drawing will be modified to show the correct travel stop with a note emphasizing the design function of the travel stop.
2982016009|1|CAUSE|1|      A JH FAN Y 14.    q YES (If yes, complete 15.   ) 1,1 NO 15.       ABSTRACT (   On December 7, 2016, the Control Room Emergency Filtration System (CREFS) was inadvertently removed from service during the conduct of a scheduled surveillance activity performed by a Control Room Operator. Consequently, Operations declared CREFS inoperable at 22.40 hours. Investigation revealed that the running CREFS supply fan had been turned off in error during the conduct of a surveillance procedure. Upon discovery of this, Operations returned the supply fan to service and declared CREFS operable at 22:47 hours. Event Notification 52416 was made to the Nuclear Regulatory Commission Operations Center. The root cause was attributed to human error. To prevent recurrence, applicable operations procedures will be revised to require peer checking during normal operations for all Control Room manipulations directed by these procedures This is a Safety System Functional Failure REV NO. -00 1. FACILITY NAME Cooper Nuclear Station 2.   os000- 298  2016 3.   - 009
2982016010|1|CAUSE|1|      A BO Y 14.    0 YES (If yes, complete 15   ) Z NO 15.        ABSTRACT (   From July 11, 2016, to July 15, 2016, the Torus area and Reactor Building floor drain valve control switches were placed in the OPEN position, per alarm card FP-1/C-4, due to fire detector FP-TD-19-2 being impaired. Subsequently, it was determined that by placing the floor drain valve control switches to OPEN, the automatic flood protection function that is credited in Cooper Nuclear Station's internal flooding analysis, was defeated. During the time the detector was impaired, there were no credited compensatory actions taken to ensure Division 1 Core Spray (CS) and Division 1 Residual Heat Removal (RHR) systems were protected from postulated flooding caused by a high-energy line break. As such, it was determined that both Division 1 CS and Division 1 RHR were inoperable for a period greater than allowed by Technical Specifications. The cause was determined to be that when the flooding requirements in the Reactor Building changed, a review of alarm cards did not identify alarm card FP-1/C-4 as needing updated. Alarm card FP-1/C-4 was revised to remove taking radwaste valves out of AUTO for each quad. In addition, the applicable procedure has been revised to ensure actions taken will ensure operability is maintained for environmentally qualified components in each of the Reactor Building quads; and a review of fire panel alarm cards will be performed for similar occurrences where monitoring is the only action taken.
3112016001|1|CAUSE|1|    I    A I 14.    15.     q YES Of yes, complete 15.   ) @ NO   ' BSTRACT (   On January 19, 2016, while reviewing outage data, plant staff recognized that anomalous data collected in October 2015, for the 21 Auxiliary Feed Pump time response loop resulted in failure to meet a surveillance, rendering that channel of Auxiliary Feed water automatic actuation inoperable. In November 2015, the isolation valve for the pressure override defeat pressure transmitter was found closed. The pressure transmitter provides an input into the 21 AFW Pump run-out protection circuit. With the isolation valve closed, it would take longer to sense pump discharge head and consequently the opening of the auxiliary feed pump flow control valves would be slower than normal. This condition resulted in 21 Auxiliary Feed water Pump loop time response greater than Technical Specification (TS) acceptance criteria. The failed channel was not recognized and the TS action was not taken, resulting in a condition prohibited by TS. The investigation revealed that the condition most likely existed since April 20, 2015, when maintenance activities were performed on the auxiliary feed water pump discharge pressure transmitter. The isolation valve was opened and the surveillance was performed satisfactorily. This report is being made in accordance with 10CFR50.73 (a)(2)(i)(B), "Any operation or condition which was prohibited by the plant's Technical Specifications."
3112016002|1|CAUSE|1|The generator trip, and subsequent automatic reactor trip, was initiated by the main generator automatic voltage regulator (AVR) STV1 volts/hertz over excitation protection relay. This relay tripped at a volts/hertz level less than the design set point (104.5% vs. 110%) during voltage manipulations to support a line outage. Failure analysis identified the cause of the trip as damage to the R14 rheostat on the STV1 relay card. This damage is attributable to either poor manufacturing quality or inadequate shipping and handling. This rheostat directly controls the set point at which the STV relay will trip for over excitation protection. This defect caused the relay to trip prior to its design value. The STV-1 relay could not be adjusted to within the manufacturer's acceptance criteria (+/-1%) with the failed R14 rheostat. The organization failed to develop and implement 
3112016003|1|CAUSE|1|    I    X TJ V W165 Y I 14.    q YES (If yes, complete 15.   ) @ NO 15.       BSTRACT (Unit  On 2/14/16 at 20:58 Salem Unit 2 automatically tripped from 100% power on Generator Protection. The trip was initiated due to a Main Turbine trip caused by a Main Generator Protection signal. All emergency core cooling systems and emergency safeguards feature systems functioned as expected. The motor driven and steam driven auxiliary feed pumps started as expected on steam generator low level. Operators stabilized the plant in Mode 3 with decay heat removal via the main steam dump valves and auxiliary feed water system. Condenser vacuum remained available for the duration of the event. Operators also ensured a normal offsite electrical power lineup. Investigation identified a Stator Water Cooling valve leak dripping onto a relay, shorting the relay wiring terminations. This caused the turbine generator trip. This report is being made in accordance with 10CFR50.73 (a)(2)(iv)(A), "Any event or condition that resulted in manual or automatic actuation of any of the systems listed in paragraph (a)(2)(iv)(B)," for this event actuation of the Reactor Protection System and the Auxiliary Feed water System.
3112016004|1|CAUSE|1|The 22 SGFP trip was a rate trip (-400 RPM increase in 300milliseconds) caused when the main steam poppet valve opened. A root cause evaluation was conducted for this event. The evaluation determined that one root cause was that the specification agreed upon by PSEG and the DFCS vendor did not identify the acceleration rate trip that was incorporated into the digital feed modification. An independent Critical Digital Review (CDR) was performed by an experienced independent vendor. The CDR did not identify the installation of the trip. The vendor was involved in the process throughout the entire lifecycle, from requirements definition to factory acceptance testing. The design requirements/specifications as defined by PSEG for the implementation of the modification did not identify the acceleration rate trip. The DFCS vendor was contacted and requested to validate that the acceleration rate trip was not discussed in the Functional requirements document. The response to the inquiry was 'The Trip on acceleration is NOT required; therefore it is not contained in the Functional Requirements Document" The trip function was installed without knowledge by engineering and the vendor had documentation identifying function/trip did exist, but did not specifically communicate the existence or functionality of the specific trip function. The acceleration rate trip will be removed from the system in accordance with the design change process. A second root cause identified was that the instructions for swapping from low pressure steam to high pressure steam provided in the procedure utilized did not include a conservative description/method for implementing a change in steam supply source to minimize speed perturbation. A review of data collected from the event was performed. The speed and demand signals specific to this event indicated a delta from previous start ups and a speed perturbation was experienced. The feed pump operation was performed within the requirements of the procedure and the review performed by this evaluation indicates that this was not the conservative method to operate/perform the transition from heating steam (HS) to main steam (MS). Additional guidance is required to prevent further speed perturbations.
3112016005|1|CAUSE|1|The direct cause for Salem Unit 2 turbine generator trip was an intermittent ground fault caused by a broken Current Transformer (CT) core ground wire that was intermittently touching the low voltage connections inside the transformer bushing compartment. The exact cause for the broken wire has not yet been determined yet. A Root Cause Evaluation is currently in progress. The preliminary report found that the CT wires were not secured to the transformer tank as expected. SAFETY CONSEQUENCES IMPLICATIONS There were no safety consequences as a result of this event. Operators appropriately responded to the reactor trip to stabilize the plant. All emergency core cooling systems and emergency safeguards feature systems functioned as expected. The motor driven and steam driven' auxiliary feed water pumps started as expected on steam generator low level. Operators stabilized .the plant in Mode 3 with decay heat removal via the main steam dump valves and auxiliary feed water system. Condenser vacuum remained available for the duration of the event. SAFETY  FUNCTIONAL FAILURE This condition did not result in a safety system functional failure as defined in NEI 99-02, Regulatory Assessment Performance Indicator Guidelines. PREVIOUS S A review of previous events for the past three years identified two similar events. License Event Report (LER) 272/2014-003-00, Reactor Trip Due to Actuation of Generator Protection was issued on June 4, 2014. License Event Report (LER) 272/2014-004-00, Reactor Trip Due to Actuation of Generator Protection was issued on July 3, 2014. Both event were due to a failed wiring termination on the C Phase neutral generator current transformer. The s taken for those events were specific to them and would not have prevented this event. 
3112016006|1|CAUSE|1|    /    X AB P W120 Y D BK CLR W120 Y 14.    r YES (If yes, complete 15.   ) p' NO 15.       ABSTRACT (   At approximately 1500 hours on August 31, 2016, the 21 Reactor Coolant Pump (RCP) tripped resulting in an automatic reactor trip on low flow in one reactor coolant loop above the P-8 permissive (36% power permissive). As expected, the 21, 22 and 23 Auxiliary Feed water (AFW) pumps started on low steam generator level following the unit trip. Unit 2 was stabilized in Mode 3 at normal operating temperature and pressure with the 22, 23 and 24 RCPs in-service. The trip of the 21 RCP was caused by a Service Water (SW) leak that developed on the 22 Containment Fan Coil Unit (CFCU) motor cooler. The SW leaked on to the 21 RCP motor lead containment penetration and the motor leads in the termination box. This caused the A and C phase instantaneous overload relays to actuate causing the trip of the RCP and the subsequent reactor trip on low flow in one reactor coolant loop. This report is being made in accordance with 10CFR50.73 (a)(2)(iv)(A), "Any event or condition that resulted in manual or automatic actuation of any of the systems listed in paragraph (a)(2)(iv)(B)," for this event actuation of the Reactor Protection System (RPS) and the Auxiliary Feed water System (AF).
